Inside Features: 
NP^g->UCP^g*,NNS : 2
S^g->@S^g,VP^g* : 23
SBAR^g->WHADVP^g*,S^g|VP^g : 1
@PRN^g->-LRB-*,ADJP^g|QP^g : 1
VP^g->VB,S^g* : 5
S^g->NP^g|NNP,VP^g* : 1
VP^g->VBD,S^g|VP^g* : 3
VP^g->VBZ,NP^g|NN* : 2
PP^g->@PP^g*,ADJP^g|JJ : 1
@VP^g->ADVP^g|RB,VBP* : 1
@VP^g->VBP*,PP^g|TO : 1
@S^g->@S^g*,PRN^g : 1
NP^g->JJS,NNS* : 1
NP^g->@NP^g*,VBZ : 2
S^g|VP^g->VBD*,S^g : 2
S^g|ADJP^g->ADJP^g,PP^g* : 1
@SINV^g->FRAG^g|ADJP^g,,* : 1
NP^g->NP^g,ADJP^g* : 1
FRAG^g->NP^g,.* : 1
@PP^g->PP^g*,, : 1
ADJP^g->@ADJP^g,PP^g* : 1
@S^g->@S^g,VP^g|VBD* : 10
ADJP^g->VBN,PP^g* : 1
S^g|VP^g->VBP*,ADJP^g : 1
@NP^g->DT*,QP^g : 1
@VP^g->VBP,ADJP^g|JJ* : 1
@VP^g->@VP^g,NP^g|QP^g* : 2
VP^g->VBD*,NP^g|CD : 1
NP^g->@NP^g,POS* : 39
NP^g->DT*,NN : 176
SBAR^g->IN*,FRAG^g : 1
@VP^g->VBD,ADJP^g* : 1
S^g->NP^g|DT,VP^g* : 3
S^g|NP^g->@NP^g*,NP^g : 1
@NP^g->NN*,NNS : 1
PP^g->VBG*,NP^g : 4
NP^g->JJR*,NN : 1
@VP^g->VBZ,ADVP^g|RB* : 6
@S^g->S^g,:* : 6
@NP^g->NP^g,TO* : 1
NP^g->@NP^g*,NP^g|NN : 4
@VP^g->VBP,RB* : 3
NP^g->@NP^g,NP^g|NNP* : 3
@ADJP^g->ADJP^g,CC* : 4
@S^g->S^g,CC* : 5
@S^g->NP^g,,* : 4
@VP^g->@VP^g,RB* : 2
WHPP^g->IN,WHNP^g|WDT* : 1
@NX^g->@NX^g,CC* : 3
@NP^g->DT*,NNPS : 4
@NP^g->NNP,NNS* : 1
@VP^g->VBG*,PP^g : 6
@VP^g->@VP^g*,VB : 2
VP^g->VBG*,PP^g : 6
@VP^g->@VP^g*,`` : 1
PP^g->TO,NP^g|JJ* : 1
VP^g->@VP^g,ADJP^g* : 5
VP^g->VB,S^g|VP^g* : 7
S^g|VP^g->VBZ*,NP^g : 4
NP^g->@NP^g*,S^g|VP^g : 11
@VP^g->VBP*,RB : 3
S^g|VP^g->VBG,NP^g|PRP* : 1
@VP^g->ADVP^g|RB*,JJ : 1
SBAR^g|S^g->NP^g|NNS*,VP^g : 1
@S^g->``*,NP^g : 4
@VP^g->VBP,PRN^g* : 1
VP^g->VB*,NP^g|PRP : 1
S^g->ADVP^g|RB*,VP^g|VBZ : 1
NP^g->@NP^g*,NN : 238
@NX^g->NX^g,,* : 2
@NP^g->``*,JJ : 2
NP^g->NP^g*,NN : 13
NP^g->NP^g|NN*,PP^g : 28
ADJP^g->@ADJP^g*,JJ : 7
SBAR^g->WHNP^g|IN*,S^g : 1
@VP^g->PRN^g*,MD : 1
@VP^g->VBN*,PP^g : 10
VP^g->VBN*,SBAR^g|S^g|VP^g : 1
S^g|VP^g->VBZ*,PP^g : 1
@VP^g->VBN*,ADJP^g : 1
@S^g->@S^g*,ADVP^g : 1
@ADJP^g->@ADJP^g,JJ* : 3
@NP^g->NNP*,FW : 1
@PRN^g->@PRN^g,SBAR^g* : 1
VP^g->VBZ*,SBAR^g|S^g : 1
@ADJP^g->``*,JJ : 1
@VP^g->@VP^g,``* : 1
@UCP^g->@UCP^g*,CC : 1
NP^g->NP^g|NN*,VP^g|VBN : 1
@S^g->S^g|VP^g*,`` : 1
@NP^g->RB*,DT : 3
@NX^g->NX^g*,, : 2
ADVP^g->@ADVP^g,NP^g|NNP* : 1
S^g|VP^g->VBP,ADJP^g* : 1
ADJP^g->ADJP^g,PRN^g* : 1
@NP^g->JJ,NNS* : 2
@VP^g->@VP^g,ADVP^g|RB* : 8
NP^g->DT*,JJ : 4
@NP^g->NNP,NNP* : 15
@NP^g->@NP^g,ADJP^g* : 3
@NAC^g->NNP*,NNP : 2
SBAR^g|S^g->NP^g|PRP*,VP^g : 14
VP^g->VBG,VP^g* : 1
@SINV^g->@SINV^g*,, : 11
S^g->ADVP^g|RB,VP^g* : 4
@PP^g->@PP^g,NP^g|NN* : 1
VP^g->VBD*,UCP^g : 1
ADVP^g->NP^g|NNS,RB* : 1
NP^g->NP^g|NNS,ADJP^g* : 2
SINV^g->@SINV^g*,. : 13
S^g|VP^g->VBN*,PP^g : 4
WHADVP^g->RB,WRB* : 1
@NP^g->DT,VBN* : 5
ADJP^g->RB,VBN* : 3
NP^g->NP^g|NNS*,PP^g : 17
S^g|VP^g->@VP^g*,S^g|VP^g : 3
@NP^g->RB*,PRP$ : 1
NP^g->NP^g,VP^g* : 18
NX^g->JJ,NN* : 3
NP^g->@NP^g*,ADJP^g : 3
@S^g->NP^g|NNP,VP^g* : 4
@VP^g->VBD,S^g|VP^g* : 1
@VP^g->MD,RB* : 7
@VP^g->ADVP^g*,VBN : 1
@VP^g->VBZ*,PRT^g|RP : 1
PP^g->PP^g*,PP^g : 1
@S^g->ADVP^g*,, : 3
ADJP^g->@ADJP^g*,ADJP^g|JJ : 1
@S^g->CC,PP^g* : 1
@PP^g->ADVP^g|RB,TO* : 1
@VP^g->VP^g|VBN,CC* : 1
UCP^g->@UCP^g*,ADJP^g : 1
ADVP^g->@ADVP^g*,IN : 1
NP^g->NP^g|NN,SBAR^g|S^g|VP^g* : 1
@VP^g->VBD,ADVP^g|RB* : 3
VP^g->@VP^g*,ADVP^g|RBS : 1
@PRN^g->@PRN^g*,NP^g : 2
NP^g->NP^g|NN,VP^g* : 1
VP^g->VBP*,VP^g : 19
SBAR^g->WHNP^g|WP,S^g|VP^g|VBZ* : 1
S^g|VP^g->@VP^g*,SBAR^g : 1
@QP^g->CD*,CD : 2
@PP^g->ADVP^g|RB,IN* : 4
PP^g->IN,S^g|VP^g* : 17
ADJP^g->JJ,JJ* : 1
ADJP^g->JJ*,SBAR^g|S^g|VP^g : 2
@NP^g->NNP*,CC : 5
NP^g->NP^g|NNS*,VP^g : 4
ADJP^g->NP^g*,JJR : 2
@VP^g->VB,ADJP^g* : 1
@NP^g->@NP^g,NNS* : 21
@NP^g->JJ,NNP* : 4
@VP^g->VBZ*,ADJP^g|JJ : 2
@S^g->@S^g,ADVP^g* : 1
@NX^g->@NX^g*,NN : 1
PP^g->IN*,NP^g|PRP : 5
NP^g->UCP^g,NNS* : 2
@S^g->ADVP^g,PRN^g* : 1
NP^g->NP^g*,NX^g : 1
SBAR^g->@SBAR^g*,SBAR^g : 2
VP^g->@VP^g,NP^g* : 27
NP^g->NNS*,NN : 1
@VP^g->VP^g|VBD*,, : 1
@VP^g->VBZ*,NP^g : 7
@NP^g->IN,NNP* : 1
@UCP^g->JJ*,CC : 2
S^g->@S^g,SQ^g* : 1
NP^g->@NP^g*,NNP : 52
S^g|VP^g->VBG*,PP^g : 4
@S^g->@S^g*,NP^g|NNS : 2
NP^g->@NP^g*,VP^g : 3
S^g->@S^g,VP^g|VBZ* : 1
@ADJP^g->RB,RB* : 1
@NP^g->NP^g,NNP* : 5
@NP^g->NP^g*,JJS : 2
@NP^g->IN*,NNP : 1
S^g|VP^g->@VP^g,NP^g* : 4
@QP^g->CD*,NN : 1
NP^g->NP^g|NNS*,SBAR^g|S^g|VP^g : 3
@NP^g->NP^g*,VP^g : 3
PP^g->RB,ADJP^g* : 1
NP^g->NNP,POS* : 17
PP^g->IN,NP^g* : 398
@S^g->@S^g*,NP^g|QP^g : 1
VP^g->@VP^g*,S^g|VP^g : 28
@NP^g->NP^g|NNP*,, : 6
NP^g->RB,NN* : 1
@FRAG^g->NP^g,PP^g* : 1
@VP^g->@VP^g,''* : 1
ADJP^g->JJ*,NN : 1
@VP^g->@VP^g*,VP^g|VBD : 1
VP^g->TO*,VP^g|VB : 1
S^g->NP^g|PRP,VP^g|VBZ* : 1
VP^g->VBZ,S^g* : 2
@PRN^g->@PRN^g*,, : 2
SINV^g->@SINV^g,''* : 1
@NP^g->NP^g|NN*,PP^g : 1
@ADJP^g->@ADJP^g*,JJ : 3
@ADJP^g->DT*,RBR : 1
@VP^g->VBP*,NP^g : 9
VP^g->@VP^g*,ADJP^g : 5
@S^g->ADJP^g|JJ,PP^g* : 1
ADJP^g->@ADJP^g*,PRN^g : 1
@VP^g->@VP^g,CC* : 13
ADVP^g->RB*,RB : 6
NP^g->PRP$*,NX^g : 1
PP^g->@PP^g*,SBAR^g : 1
NP^g->@NP^g*,FW : 1
@PRN^g->:,CC* : 1
VP^g->VBG*,ADJP^g : 1
@VP^g->ADVP^g|RB*,VBZ : 2
VP^g->VBZ,SBAR^g|S^g* : 1
@QP^g->@QP^g*,$ : 1
@VP^g->ADVP^g|RB*,VBP : 1
ADJP^g->CD,JJ* : 1
@VP^g->ADVP^g|RB*,VBN : 9
@VP^g->ADVP^g|RB,VBD* : 2
NP^g->NP^g*,ADVP^g|RB : 3
NP^g|QP^g->@QP^g,CD* : 6
ADVP^g->@ADVP^g*,NP^g|NNP : 1
NP^g->NP^g|DT*,VP^g : 1
@VP^g->ADVP^g|RB*,VBG : 2
@VP^g->ADVP^g|RB*,VBD : 2
@SINV^g->@SINV^g,PP^g* : 1
@UCP^g->NP^g|CD*,CC : 1
VP^g->VBG,PP^g* : 6
VP^g->VBP,S^g|VP^g* : 1
S^g->@S^g,-RRB-* : 3
VP^g->VBD*,PP^g : 6
VP^g->VBG*,NP^g : 8
S^g->NP^g*,VP^g|VBD : 1
ADJP^g->JJ,PP^g* : 13
NP^g->QP^g*,NNS : 3
@SINV^g->VBP*,NP^g : 1
NP^g->NP^g*,VP^g : 18
VP^g->VBP,NP^g|NNS* : 1
PP^g->IN,NP^g|RB* : 1
@PRN^g->,*,SBAR^g : 2
NX^g->JJ,NNS* : 3
ADJP^g->@ADJP^g*,PRP$ : 1
@NP^g->NP^g|NN*,: : 1
VP^g->@VP^g*,NP^g : 27
FRAG^g|NP^g->JJ*,NNS : 1
@NP^g->DT,VBG* : 7
@S^g->NP^g*,NP^g : 2
@VP^g->@VP^g,PP^g* : 26
WHPP^g->IN*,WHNP^g|WDT : 1
NP^g->@NP^g*,DT : 1
@VP^g->@VP^g*,RB : 2
NX^g->@NX^g*,NX^g|NNS : 1
@NP^g->NP^g|NN*,, : 3
NP^g->NP^g|NNS,NP^g|JJ* : 1
PP^g->VBG*,PP^g : 2
@NP^g->@NP^g*,ADJP^g : 3
QP^g->IN*,DT : 1
@NP^g->DT*,ADJP^g : 9
@S^g->S^g|ADJP^g*,, : 2
VP^g->VBN,PP^g* : 33
PP^g->@PP^g*,NP^g|NN : 2
@VP^g->VBD*,ADJP^g|JJ : 1
@VP^g->VBP*,CONJP^g : 1
VP^g->NN,NP^g* : 1
@VP^g->VBZ,NP^g* : 7
NP^g->NP^g|NNS*,ADJP^g : 2
VP^g->@VP^g*,PRT^g|RP : 1
ADJP^g->JJ*,JJ : 5
NP^g->@NP^g*,UCP^g : 1
PP^g->IN*,NP^g|NNPS : 1
UCP^g->@UCP^g*,. : 1
NP^g|QP^g->IN,CD* : 1
ADJP^g->IN,S^g|VP^g* : 2
NP^g->@NP^g*,CD : 1
@SQ^g->MD,NP^g|NNS* : 1
VP^g->VBZ,NP^g|QP^g* : 1
QP^g->IN*,CD : 2
NP^g->NP^g|NN*,SBAR^g|S^g|VP^g : 1
@S^g->NP^g,VP^g|VBD* : 1
@VP^g->@VP^g,NP^g|NN* : 1
UCP^g->@UCP^g,VP^g* : 1
VP^g->VB*,NP^g : 53
ADJP^g->NN,JJ* : 4
@VP^g->VB*,ADVP^g|RB : 4
NP^g|QP^g->@QP^g,NN* : 1
@SINV^g->@SINV^g,VP^g* : 1
@NP^g->PRP$,NN* : 6
@VP^g->VBN*,NP^g|NN : 2
@S^g->@S^g,VP^g|VBZ* : 3
@NP^g->DT*,VBN : 5
ADJP^g->RB*,PP^g : 1
@S^g->@S^g,NP^g* : 34
@S^g->@S^g,NP^g|CD* : 2
@NP^g->DT*,VBG : 7
@SQ^g->VBD,NP^g|DT* : 1
S^g|VP^g->VBD*,NP^g : 5
@PRN^g->-LRB-*,NP^g|QP^g : 1
S^g|ADJP^g->JJ*,S^g|VP^g : 1
@NP^g->JJ,``* : 1
@VP^g->VBP*,PP^g : 1
@S^g->``*,S^g : 7
@PP^g->@PP^g,NP^g* : 1
@NP^g->NP^g|NN,CC* : 3
NP^g->NNP*,NNS : 8
@S^g->@S^g*,SBAR^g : 1
NP^g->NNP*,NNP : 127
VP^g->VBD*,VP^g : 18
VP^g->@VP^g*,SBAR^g|SINV^g : 1
S^g|VP^g->MD*,VP^g : 5
@FRAG^g->@FRAG^g,PP^g* : 1
@SINV^g->``,FRAG^g* : 1
@S^g->S^g*,: : 6
S^g|VP^g->VBZ,SBAR^g|S^g* : 1
@NP^g->NP^g|QP^g*,: : 1
@SBARQ^g->WHNP^g|WP,SQ^g|VP^g* : 1
@QP^g->@QP^g*,TO : 1
S^g|VP^g->VBZ*,S^g|VP^g : 1
NP^g->NP^g*,SBAR^g : 30
@S^g->S^g*,, : 20
@NP^g->NP^g|QP^g*,, : 1
@VP^g->MD*,RB : 7
FRAG^g->@FRAG^g,.* : 2
@PP^g->ADVP^g|RBR,IN* : 1
@UCP^g->@UCP^g,ADVP^g|RB* : 1
VP^g->VBN*,ADVP^g|RB : 1
@UCP^g->@UCP^g*,ADVP^g|RB : 1
ADJP^g->CD*,JJ : 1
S^g|VP^g->VBP*,NP^g : 1
@NP^g->PRP$,QP^g* : 1
ADJP^g->RBR,JJ* : 3
S^g|VP^g->VBP*,PP^g : 1
NP^g->CD,DT* : 1
NP^g|QP^g->@QP^g*,NN : 1
NX^g->@NX^g*,NX^g : 2
NP^g->QP^g,NX^g* : 1
@ADJP^g->ADJP^g*,CC : 4
@S^g->S^g*,CC : 5
FRAG^g|ADJP^g->RB*,JJ : 1
SBAR^g|S^g->NP^g,VP^g* : 12
VP^g->VBZ*,NP^g|NNP : 1
NP^g->VBG*,NNS : 1
@NX^g->@NX^g*,CC : 3
ADVP^g->RB*,IN : 2
NP^g->@NP^g*,PRP : 1
NX^g->JJ*,NNS : 3
VP^g->VB*,PRT^g|RP : 1
NP^g->@NP^g,NNS* : 117
FRAG^g->@FRAG^g,,* : 1
@VP^g->VBD*,NP^g : 15
NP^g->NP^g|JJR*,PP^g : 1
SBAR^g->@SBAR^g,S^g* : 6
NP^g->NNS*,POS : 3
VP^g->VBZ*,NP^g|NN : 2
S^g->NP^g|PRP,VP^g|VBP* : 1
PP^g->TO*,NP^g|JJ : 1
@S^g->@S^g*,NP^g|PRP : 25
@SQ^g->VBD*,NP^g|DT : 1
@NP^g->@NP^g,NP^g|NN* : 3
VP^g->MD*,VP^g : 55
VP^g->VBG*,S^g|VP^g : 4
VP^g->TO,VP^g|VB* : 1
S^g->NP^g|PRP,VP^g|VBD* : 2
VP^g->VBN,ADJP^g* : 2
SBAR^g->WHNP^g|WDT,S^g|VP^g* : 37
@VP^g->ADVP^g|RB,VBN* : 9
NP^g->NNS,NN* : 1
NP^g->@NP^g,VP^g* : 3
@UCP^g->NP^g*,CC : 1
NP^g->@NP^g*,PRN^g : 1
NP^g->NP^g|NNS,ADVP^g|RB* : 1
@VP^g->VB,NP^g* : 20
@NP^g->@NP^g*,NP^g : 43
S^g->RB*,VP^g : 1
@NP^g->NP^g,VP^g* : 3
VP^g->VBD*,SBAR^g : 5
@NP^g->JJ*,`` : 1
S^g->@S^g,S^g|VP^g* : 1
@SBAR^g->WHNP^g|WP,,* : 1
S^g|VP^g->VBG,NP^g|NN* : 2
@FRAG^g->@FRAG^g*,ADVP^g|RB : 1
ADJP^g->NN*,JJ : 4
@SBAR^g->@SBAR^g*,SBAR^g : 1
SBAR^g|S^g|VP^g->TO,VP^g|VB* : 1
@S^g->RB,,* : 1
VP^g->VBD*,NP^g : 24
@NP^g->DT,JJR* : 1
NP^g->NP^g*,S^g|VP^g : 1
ADJP^g->RB,JJR* : 1
VP^g->VBZ,ADJP^g|JJ* : 1
S^g->PP^g*,VP^g : 1
NP^g->NP^g,ADVP^g|RB* : 3
@S^g->RB*,, : 1
VP^g->VB,SBAR^g* : 2
NP^g->@NP^g,NNP* : 52
NP^g->NP^g|JJ*,PP^g : 3
NP^g->@NP^g,NX^g|NN* : 1
ADJP^g->@ADJP^g*,SBAR^g|S^g|VP^g : 2
@VP^g->@VP^g,VP^g|VBD* : 1
S^g->NP^g|EX*,VP^g : 3
@SINV^g->VBD*,NP^g|PRP : 1
PP^g->@PP^g*,'' : 2
@VP^g->VBG,NP^g|NNS* : 1
@NP^g->JJ,NN* : 11
@VP^g->VBN,NP^g* : 4
S^g->PP^g*,PP^g : 1
NP^g->NP^g*,PRN^g : 3
SBAR^g->WHNP^g|WP*,S^g|VP^g|VBD : 1
PP^g->TO*,NP^g : 39
NP^g->NP^g|NNS*,NP^g|JJ : 1
@S^g->@S^g*,VP^g|VBZ : 3
@VP^g->VBD,CC* : 1
NP^g->@NP^g,SBAR^g* : 22
FRAG^g|NP^g->JJ,NNS* : 1
@S^g->NP^g|NN,ADVP^g|RB* : 1
@S^g->@S^g*,VP^g|VBP : 2
S^g|VP^g->VBG,NP^g* : 12
@VP^g->VP^g|VBZ*,CC : 1
FRAG^g->RB,ADVP^g* : 1
@SQ^g->VBZ,NP^g|DT* : 1
@S^g->@S^g*,RB : 1
@SINV^g->@SINV^g*,PP^g : 1
SBAR^g|S^g|VP^g->TO*,VP^g : 14
@S^g->@S^g*,VP^g|VBD : 10
@S^g->NP^g|DT,VP^g* : 5
S^g->NP^g|NN*,VP^g : 5
NP^g->@NP^g,PRP* : 1
@VP^g->VP^g,,* : 10
S^g->@S^g*,VP^g : 23
@SBAR^g->@SBAR^g*,CC : 1
VP^g->@VP^g*,PP^g : 88
@NP^g->DT,JJS* : 4
@S^g->S^g|VP^g*,, : 4
@VP^g->VB*,ADJP^g|RB : 1
@NP^g->@NP^g,``* : 10
@S^g->@S^g*,'' : 9
ADJP^g->RB*,VBN : 3
@NP^g->NP^g*,, : 99
S^g|VP^g->VBP*,S^g|VP^g : 2
@NP^g->NP^g,,* : 99
S^g|VP^g->@VP^g*,VP^g : 9
@S^g->@S^g,VP^g|VBP* : 2
VP^g->VB*,ADJP^g|JJ : 4
@NP^g->JJR,NN* : 1
NP^g->NP^g,NX^g* : 1
VP^g->@VP^g,S^g* : 3
@PP^g->@PP^g*,NP^g|NN : 1
@S^g->CONJP^g*,SINV^g : 2
@VP^g->VB,ADVP^g|RB* : 4
@VP^g->VBD*,PP^g : 4
@VP^g->VBD*,RB : 4
VP^g->VBP,PP^g* : 3
ADJP^g|QP^g->@QP^g,CD* : 1
NP^g->RB*,NN : 1
@NP^g->PRP$*,NNP : 3
@VP^g->PRN^g,MD* : 1
VP^g->@VP^g,ADVP^g|RBS* : 1
NP^g->@NP^g*,NP^g|NNS : 1
NP^g->@NP^g*,NP^g|NNP : 3
@NP^g->NP^g,ADJP^g* : 3
@VP^g->@VP^g*,PP^g : 26
@PRN^g->,,SBAR^g* : 2
ADVP^g->@ADVP^g*,RB : 2
S^g|VP^g->@VP^g,VBP* : 1
VP^g->VB*,PP^g : 20
ADJP^g->ADJP^g*,PP^g : 2
ADJP^g->RB,DT* : 2
SBAR^g->IN,S^g* : 52
S^g|VP^g->VBZ,S^g|VP^g* : 1
FRAG^g->RB*,ADVP^g : 1
NP^g->@NP^g,PP^g* : 19
@NP^g->@NP^g*,NX^g|NN : 1
@NP^g->DT,ADJP^g* : 9
@FRAG^g->NNS,,* : 1
NP^g->DT*,NNPS : 2
@SQ^g->@SQ^g*,NP^g|PRP : 1
NP^g->NNP,NNS* : 8
@VP^g->@VP^g*,CC : 13
@NP^g->NP^g|PRP,:* : 1
@NP^g->NP^g,PP^g* : 13
S^g|VP^g->VBD*,PP^g : 1
@VP^g->VBG,NP^g|PRP* : 1
@PRN^g->:*,CC : 1
UCP^g->@UCP^g,NN* : 2
VP^g->VBZ*,S^g : 2
@NP^g->``*,NP^g : 3
VP^g->VBN,ADVP^g|RB* : 1
PP^g->IN,NP^g|DT* : 1
VP^g->VBN*,ADJP^g : 2
ADVP^g->@ADVP^g,IN* : 1
@NP^g->NP^g|NNS,CC* : 1
@NP^g->JJ,,* : 1
SBAR^g->WHNP^g|WP,S^g|VP^g|VBD* : 1
S^g|VP^g->VBG*,S^g|VP^g : 1
@VP^g->VBZ,PRT^g|RP* : 1
VP^g->VBD,VP^g* : 18
@S^g->ADVP^g,NP^g* : 1
S^g|VP^g->MD,VP^g* : 5
@NP^g->NP^g|NN*,CC : 3
NP^g->NP^g|NN*,SBAR^g : 3
VP^g->@VP^g,VP^g* : 55
@S^g->@S^g,CC* : 16
@NP^g->PRP$,JJ* : 18
@VP^g->VB*,NP^g|PRP : 6
NP^g|QP^g->@QP^g*,CD : 6
@NP^g->@NP^g,NP^g|CD* : 1
S^g->NP^g|PRP,VP^g|VB* : 1
VP^g->VBP*,ADVP^g|RB : 1
NP^g->@NP^g*,NNS : 117
@NP^g->@NP^g*,`` : 10
@ADVP^g->IN,RBS* : 1
ADJP^g->JJ,NN* : 1
@NP^g->@NP^g,SBAR^g* : 4
NP^g->NNP,NNP* : 33
@VP^g->VBG,NP^g* : 9
ADJP^g->ADJP^g*,PRN^g : 1
@NP^g->NN,NN* : 2
NP^g->QP^g*,NX^g : 1
NP^g->NP^g|NNS,SBAR^g* : 5
@NP^g->NNP*,JJ : 1
@VP^g->VBN*,PRT^g|RP : 5
@SQ^g->@SQ^g*,NP^g : 1
VP^g->VBG*,ADVP^g|RB : 1
SBAR^g->RB,S^g* : 1
@NP^g->PRP$*,QP^g : 1
@VP^g->VB*,NP^g|NN : 2
NX^g->@NX^g,NN* : 2
@VP^g->VBG*,PRT^g|RP : 3
@VP^g->MD*,ADVP^g : 1
@NP^g->@NP^g,NN* : 59
@NP^g->PRP$*,NN : 6
@S^g->@S^g*,VP^g : 78
S^g|VP^g->VBZ*,VP^g : 2
VP^g->VBN*,VP^g|VBN : 2
NP^g->NP^g|QP^g*,NP^g : 1
UCP^g->@UCP^g*,ADJP^g|JJR : 1
PRN^g->@PRN^g,:* : 4
S^g->NP^g|PRP*,VP^g : 31
@NX^g->@NX^g*,NX^g|NNS : 1
@UCP^g->ADJP^g,:* : 1
VP^g->MD,VP^g|VB* : 3
@NP^g->RB*,PDT : 1
VP^g->VBP*,ADJP^g : 1
ADVP^g->RB*,SBAR^g : 1
@SINV^g->@SINV^g,,* : 11
S^g->NP^g|PRP*,VP^g|VBP : 1
ADVP^g->NP^g|NNS*,RB : 1
VP^g->VBZ*,NP^g|QP^g : 1
@NP^g->@NP^g*,PP^g : 5
@NP^g->``,NP^g* : 3
S^g|VP^g->VBZ,NP^g* : 4
S^g->RB,VP^g* : 1
@NP^g->@NP^g,RB* : 2
@VP^g->VBD*,NP^g|PRP : 2
VP^g->VBP*,UCP^g : 1
PRN^g->@PRN^g,-RRB-* : 5
VP^g->VB,S^g|ADJP^g|JJ* : 1
@S^g->ADVP^g*,PRN^g : 1
S^g|VP^g->VBG,S^g* : 5
S^g|NP^g->@NP^g,NN* : 1
ADJP^g|QP^g->@QP^g*,CD : 1
VP^g->VBZ*,VP^g|VBN : 1
@QP^g->@QP^g*,CD : 4
@QP^g->@QP^g*,CC : 1
@NP^g->NN*,, : 2
@VP^g->VBZ,ADJP^g|JJ* : 2
SQ^g->@SQ^g*,. : 4
@PP^g->@PP^g,CC* : 1
NP^g->NP^g|NN,VP^g|VBN* : 1
@VP^g->VBP,S^g|VP^g* : 2
@NP^g->NP^g*,ADJP^g : 3
NP^g|QP^g->IN*,CD : 1
PP^g->IN,S^g* : 3
@S^g->``,NP^g* : 4
@NP^g->DT,NNS* : 3
VP^g->VBN*,ADJP^g|JJ : 1
@S^g->@S^g*,NP^g|EX : 1
NX^g->NP^g|NN,PP^g* : 2
@UCP^g->S^g*,: : 1
@NP^g->NP^g|QP^g,,* : 1
@UCP^g->S^g,:* : 1
@S^g->@S^g,.* : 22
@S^g->NP^g|PRP,``* : 1
S^g|VP^g->TO,VP^g* : 68
VP^g->VB*,NP^g|NNS : 1
PP^g->TO,NP^g|NN* : 3
@VP^g->VBD,,* : 1
VP^g->VBD,PP^g* : 6
@SBAR^g->SBAR^g,CC* : 1
SBAR^g->WHADVP^g|WRB,S^g* : 7
PP^g->IN*,NP^g|CD : 5
@VP^g->@VP^g*,VP^g : 5
@VP^g->VBD*,ADJP^g : 1
@VP^g->@VP^g,:* : 1
@VP^g->VBP,NP^g* : 9
SBAR^g->@SBAR^g*,S^g|VP^g : 2
@NP^g->PRP$*,JJ : 18
@VP^g->@VP^g*,NP^g|QP^g : 2
NP^g->NP^g|NN,SBAR^g* : 3
@NP^g->CD*,NNP : 2
VP^g->VB,NP^g|NN* : 2
@S^g->@S^g*,NP^g|DT : 1
SBAR^g|S^g->NP^g*,VP^g : 12
NP^g->DT,NNP* : 14
@S^g->NP^g,NP^g|PRP* : 2
VP^g->@VP^g,PRT^g|RP* : 1
PP^g->@PP^g*,NP^g : 15
S^g|VP^g->@VP^g,SBAR^g* : 1
S^g->NP^g|NN,VP^g* : 5
@NP^g->@NP^g*,NNS : 21
S^g->@S^g,''* : 20
@SINV^g->ADVP^g|RB*,VP^g|VBN : 1
@SBAR^g->IN,NN* : 1
PP^g->VBG,NP^g* : 4
@SBAR^g->@SBAR^g,CC* : 1
SBAR^g|SINV^g->@SINV^g*,VP^g : 1
@NP^g->DT,NAC^g* : 1
VP^g->VBN,ADVP^g* : 1
@NP^g->PRP$,NNS* : 2
NP^g->ADJP^g*,NNS : 5
@S^g->@S^g,,* : 21
S^g|VP^g->@VP^g,VP^g* : 9
S^g->NP^g*,ADVP^g|RB : 1
VP^g->VBZ,VP^g|VBN* : 1
@S^g->@S^g*,NP^g|CD : 2
SBAR^g->@SBAR^g*,S^g : 6
@NP^g->DT,NNP* : 34
@NP^g->DT*,JJS : 4
@NP^g->DT*,JJR : 1
@VP^g->ADVP^g|RB,VP^g* : 1
ADJP^g->RB*,JJR : 1
@QP^g->IN*,$ : 2
VP^g->TO,VP^g* : 18
@NP^g->NP^g|PRP,CC* : 1
@SQ^g->@SQ^g,SBAR^g* : 2
S^g->NP^g|JJS,VP^g* : 2
@QP^g->RB*,JJ : 1
@SINV^g->VBD,NP^g|PRP* : 1
WHPP^g->TO,WHNP^g|WDT* : 1
ADVP^g->RB,IN* : 2
VP^g->VBZ,S^g|VP^g* : 3
NAC^g->@NAC^g*,, : 1
@PRN^g->@PRN^g,NP^g* : 2
S^g|VP^g->@VP^g*,VBP : 1
VP^g->NP^g|DT*,S^g|VP^g : 1
@NP^g->DT*,NNS : 3
NP^g->DT*,CD : 1
UCP^g->@UCP^g*,VP^g : 1
@NP^g->@NP^g*,, : 33
VP^g->@VP^g,PRN^g* : 1
S^g->NP^g|NNPS*,VP^g : 1
@S^g->NP^g|NN*,, : 2
@S^g->NP^g|NN,,* : 2
SQ^g|VP^g->VBZ*,ADJP^g|JJ : 1
SBAR^g->WHNP^g|WP*,S^g|VP^g|VBZ : 1
NP^g->NP^g|NN*,VP^g : 1
@VP^g->VBP,PRT^g|RP* : 1
@VP^g->VBP*,PRN^g : 1
PP^g->NN*,PP^g : 1
S^g->NP^g*,ADJP^g|JJ : 1
@NP^g->JJR,JJ* : 1
@NP^g->JJ*,NN : 11
@VP^g->VB,NP^g|NNS* : 8
@UCP^g->VP^g*,CC : 1
@VP^g->@VP^g*,VBD : 1
